Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2081032188,1.104466,0.181934,-0.293893,-0.117172,0.226542,0.965699
2081072208,-0.644772,0.137032,-0.131135,-0.117808,0.226454,0.968132
2081112238,-0.326360,0.208084,-0.122750,-0.120419,0.222494,0.968306
2081152257,0.678778,-0.247273,-0.067364,-0.119706,0.224221,0.968847
2081192287,0.496159,-0.047355,-0.033966,-0.118937,0.225143,0.968839
2081232312,0.709314,-0.030085,-0.111290,-0.118609,0.226720,0.966856
2081272332,-0.085549,-0.148307,0.129249,-0.118545,0.229435,0.969267
2081312362,0.627293,0.580063,0.326871,-0.117075,0.226183,0.969808
2081352386,0.483952,0.109817,-0.116751,-0.118494,0.230340,0.965665
2081392406,-1.886606,0.403277,0.013889,-0.122608,0.226739,0.970189
2081432436,3.382349,2.147545,1.454095,-0.121081,0.222917,0.973229
2081472455,-7.376298,-0.486888,13.339551,-0.108221,0.289038,1.002842
2081512486,-19.620955,-0.007216,12.533051,-0.133809,0.213851,0.968486
2081552510,-8.388534,5.811773,4.133908,-0.109915,0.187763,0.945516
2081592530,-6.560848,3.676955,1.691962,-0.124912,0.186203,0.962685
2081632560,7.730640,9.854360,-2.817624,-0.162898,0.176263,0.976431
2081672585,-5.549711,25.508286,7.603368,-0.157883,0.285766,1.059703
2081712605,-11.594358,30.404547,8.404016,-0.153735,0.112106,1.171604
2081752634,12.068279,-7.638783,-15.501732,-0.057604,0.189673,1.341596
2081792654,12.607615,-36.144390,-11.669502,0.075185,0.245167,1.226766
2081832684,-12.710172,-35.063614,-6.771898,0.111100,0.247928,1.124186
2081872709,-20.471924,-32.187244,-9.689707,0.126488,0.262144,0.898235
2081912729,-4.286303,-28.740393,-1.207745,0.172101,0.263894,0.661308
2081952759,14.988594,-26.504118,17.034384,0.119137,0.178189,0.494414
2081992778,16.249044,0.516027,28.943357,-0.046764,0.135473,0.289314
2082032808,16.690184,61.861073,29.334019,-0.226245,0.040045,0.495205
2082072833,1.645499,81.765701,17.740568,-0.394529,-0.013326,0.823078
2082112852,-4.885485,86.093010,-15.360291,-0.583408,0.075674,0.893059
2082152882,85.440979,41.337330,-23.478128,-0.608880,0.637968,1.993671
2082192907,-24.609240,-57.622265,23.763470,-0.808811,0.499209,1.244675
2082232927,-89.095169,14.285199,13.863782,-0.561645,0.391899,1.111527
2082272957,-22.813456,-44.495289,13.690862,-0.382899,0.291412,1.194626
2082312976,6.099985,-92.141258,9.664172,-0.352519,0.158461,0.923113
2082353006,-13.882255,-65.778923,9.260381,-0.192070,0.158930,0.637172
2082393031,-13.374619,-14.447392,7.707902,-0.030937,0.105591,0.529009
2082433051,5.043218,25.374456,-2.858756,0.061696,0.010130,0.628495
2082473081,-0.740534,54.028645,-20.655172,0.063636,-0.014970,0.770596
2082513114,-11.120608,64.282928,-18.081594,0.075826,0.108769,0.919556
2082553125,2.884400,47.850368,-15.020719,0.006479,0.159488,1.047280
2082593156,12.022083,29.364868,-8.790143,-0.081921,0.181811,1.097129
2082633175,26.163609,9.971619,0.524294,-0.091727,0.245334,1.236750
2082673205,-11.396749,-35.091496,13.930310,-0.168791,0.233837,1.191941
2082713230,4.513036,-28.165510,10.602681,-0.210500,0.207784,0.979253
2082753249,-3.822716,-9.286410,7.922211,-0.169762,0.221420,1.029323
2082793280,1.140707,4.627264,-0.831365,-0.164267,0.143950,0.943678
2082833299,10.456306,-2.104275,-4.741841,-0.130818,0.189214,0.969524
2082873329,-3.899535,-3.736298,-3.004628,-0.158904,0.224080,0.974868
2082913354,-8.236195,0.198345,1.204888,-0.175786,0.177228,0.974524
2082953373,0.537163,2.147413,-1.609077,-0.151473,0.179014,0.981416
