Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2048051776,-0.048089,0.201005,-0.371275,0.386514,0.230986,0.888506
2048091806,0.189420,0.544033,-0.602128,0.396470,0.238633,0.895294
2048131825,-0.468215,-0.132833,2.125524,0.393944,0.231907,0.897138
2048171855,-0.174893,0.361376,1.980981,0.389528,0.215490,0.883731
2048211880,0.520011,0.332902,0.060308,0.380744,0.206040,0.892025
2048251899,-0.193997,-0.025866,-0.045274,0.400843,0.230836,0.902038
2048291929,1.676864,-0.810005,1.059070,0.395783,0.222932,0.890143
2048331956,1.496568,0.498787,1.175681,0.382460,0.208928,0.888827
2048371973,1.578273,0.028405,0.454894,0.405900,0.232733,0.903163
2048412004,-1.070803,0.605214,9.761330,0.411325,0.228350,0.910976
2048452023,-5.307187,2.247914,18.541656,0.434784,0.226891,0.910108
2048492053,-1.989572,4.685172,34.139114,0.492733,0.220489,0.890553
2048532078,-20.750967,22.287207,45.028175,0.315755,0.040574,0.868326
2048572097,-2.805896,8.785820,1.831720,0.295951,0.132777,0.819722
2048612127,-7.689664,17.178127,3.383967,0.387252,0.208601,0.923083
2048652179,-7.581641,7.994738,4.588374,0.411627,0.262950,0.923608
2048692172,2.888496,7.066957,12.614558,0.379623,0.251678,0.859025
2048732201,24.209223,9.795568,10.846431,0.368499,0.181529,0.793077
2048772221,37.743763,14.344826,20.010378,0.419370,0.220573,0.777507
2048812251,40.136742,28.238306,24.711948,0.426976,0.168431,0.803035
2048852276,74.948097,41.207638,26.593729,0.449711,0.242664,0.833807
2048892295,68.478546,87.090790,25.280397,0.202327,0.140223,0.564186
2048932325,47.580811,169.393173,15.650767,0.135095,0.274592,1.118115
2048972345,-49.840939,132.200806,-1.449613,-0.077405,0.359192,1.488237
2049012375,-101.555412,47.775589,6.868124,0.037672,0.475865,1.368290
2049052399,-90.057648,1.706181,47.497364,0.038454,0.483561,1.110857
2049092419,-116.970291,-16.886335,92.048058,0.009714,0.381699,1.009951
2049132449,-141.707047,-35.994942,75.549904,-0.021334,0.191079,0.989812
2049172474,-131.494995,-46.212315,83.904869,0.015251,-0.006499,1.045358
2049212493,-99.061691,-43.639755,63.263161,-0.110667,-0.412182,1.403497
2049252523,-67.239792,-112.349648,27.409311,-0.345431,-0.993849,2.091625
2049292543,-41.397015,-277.806702,-34.484989,-0.659450,-1.320988,2.262104
2049332573,-155.432999,-395.858337,-104.847778,-0.998289,-1.495050,1.780005
2049372597,-320.648071,-417.596741,-261.891876,-1.229420,-0.950707,0.986880
2049412617,-201.775085,-319.288177,-477.447815,-1.149413,0.807530,-0.296904
2049452647,370.933319,-500.466125,-494.104584,-0.898299,2.474864,-0.944829
2049492672,200.075119,-407.904327,-178.156158,-0.388485,2.740636,-3.579847
2049532691,-68.237488,211.304276,208.993805,-0.244251,1.699587,-2.766861
2049572722,-2.810719,361.308563,298.575348,-0.178152,1.053263,-1.069203
2049612741,16.711197,428.984589,461.632538,-0.308628,1.123337,-0.146365
2049652771,-147.896835,593.730652,728.824829,-1.893138,-0.007452,0.348991
2049692796,-274.485443,451.126434,617.775085,-2.440077,-2.687009,1.268042
2049732815,8.012591,-64.635063,138.715027,-1.770845,-3.459208,1.467635
2049772845,31.456848,-189.102097,-158.664429,-1.390889,-2.253844,0.465011
2049812881,-104.580223,-45.946308,-271.944336,-0.922786,-1.834320,0.562859
2049852889,-106.696472,-91.698502,-442.107391,-0.726408,-1.314138,0.704704
2049892919,-1.569772,-224.733307,-597.006104,-0.639949,-0.488903,0.189865
2049932939,178.562790,-235.064865,-722.900085,-0.749376,0.752857,-1.034890
2049972969,432.520905,-205.969635,-669.144226,-0.578021,2.287949,-1.908317
2050012993,585.058105,-113.713989,-379.901825,0.123876,2.558081,-2.347383
2050053013,-113.891129,145.310669,104.452881,0.319505,2.029754,-1.488774
2050093043,-389.394653,289.484344,403.808136,0.106308,1.255838,-1.274391
2050133063,-356.840485,343.698822,626.630737,-0.198342,1.216826,-0.562891
2050173088,-373.338318,391.113007,914.081848,-1.828248,0.401074,-0.686274
2050213118,-150.185715,263.220673,806.884583,-2.930611,-2.622124,0.456709
2050253137,-21.015150,-39.116665,94.805878,-1.786751,-4.252671,0.682290
2050293167,104.230125,-186.943451,-242.513916,-1.341241,-2.063527,0.499685
2050333192,-58.743195,-88.323921,-308.071869,-0.748196,-1.451864,0.372559
2050373211,-126.755119,-95.782059,-419.800110,-0.569281,-1.203143,0.544210
2050413241,-4.496461,-198.865234,-564.005981,-0.544661,-0.548264,-0.020063
2050453286,107.463585,-241.645187,-755.258118,-0.881485,0.677880,-0.937539
2050493285,393.977448,-203.634995,-754.543091,-1.024590,2.515600,-2.047700
2050533315,503.297333,-72.997520,-372.182709,0.141540,2.889174,-2.144312
2050573335,-245.187531,168.470963,180.950867,0.219423,2.019280,-1.364034
2050613365,-263.603729,231.221588,376.591309,0.155679,1.121856,-1.167130
2050653390,-245.988937,274.232758,513.718201,0.167808,1.081938,-0.581498
